"2015-06-15T07:55:39.926675-05:00 radius1.big.campus.edu radius.auth1[31325]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 71 (0s wait, 0s elapsed, 0s total)"
"2015-06-12T17:03:23.601935-05:00 radius1.big.campus.edu radius.auth1[31325]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 209 (0s wait, 0s elapsed, 0s total)"
"2015-06-12T16:35:22.324157-05:00 radius1.big.campus.edu radius.auth2[31321]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 67 (0s wait, 0s elapsed, 0s total)"
"2015-06-12T16:25:43.498005-05:00 radius1.big.campus.edu radius.auth2[31321]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 74 (0s wait, 0s elapsed, 0s total)"
"2015-06-12T15:58:56.636756-05:00 radius1.big.campus.edu radius.auth2[31321]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 29 (0s wait, 0s elapsed, 0s total)"
"2015-06-12T15:37:53.246596-05:00 radius1.big.campus.edu radius.auth2[31321]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 218 (0s wait, 0s elapsed, 0s total)"
"2015-06-12T15:32:59.074977-05:00 radius1.big.campus.edu radius.auth2[31321]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 90 (0s wait, 0s elapsed, 0s total)"
"2015-06-12T15:13:00.625532-05:00 radius1.big.campus.edu radius.auth2[31321]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 62 (0s wait, 0s elapsed, 0s total)"
"2015-06-12T14:59:55.417992-05:00 radius1.big.campus.edu radius.auth2[31321]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 212 (0s wait, 0s elapsed, 30s total)"
"2015-06-12T14:37:38.291283-05:00 radius1.big.campus.edu radius.auth2[31321]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 96 (0s wait, 0s elapsed, 0s total)"
"2015-06-12T12:56:39.104987-05:00 radius1.big.campus.edu radius.auth1[31325]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 23 (0s wait, 0s elapsed, 0s total)"
"2015-06-12T11:37:07.336600-05:00 radius1.big.campus.edu radius.auth2[31321]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 15 (0s wait, 0s elapsed, 30s total)"
"2015-06-12T11:36:31.291375-05:00 radius1.big.campus.edu radius.auth2[31321]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.215:00-90-0B-2E-CC-33:832i-CampusNet id 153 (0s wait, 0s elapsed, 0s total)"
